"","x"
"1","politica"
"2","monetaria"
"3","escenario"
"4","internacional"
"5","analiza"
"6","evolucion"
"7","reciente"
"8","perspectivas"
"9","economia"
"10","mundial"
"11","proximos"
"12","describe"
"13","escenario"
"14","externo"
"15","crecimiento"
"16","pib"
"17","regiones"
"18","probable"
"19","principales"
"20","riesgo"
"21","variacion"
"22","desarrolladas"
"23","emergentes"
"24","crecimiento"
"25","mundial"
"26","escenario"
"27","crecimiento"
"28","mundial"
"29","mediano"
"30","apunta"
"31","afianzamiento"
"32","gradual"
"33","recuperacion"
"34","desarrollados"
"35","liderados"
"36","eurozona"
"37","bien"
"38","fragil"
"39","muestra"
"40","recuperacion"
"41","sostenida"
"42","lado"
"43","emergentes"
"44","continuado"
"45","desacelerandose"
"46","forma"
"47","generalizada"
"48","perspectivas"
"49","anticipan"
"50","cierta"
"51","estabilizacion"
"52","crecimiento"
"53","grupo"
"54","escenario"
"55","ajusta"
"56","proyeccion"
"57","crecimiento"
"58","socios"
"59","comerciales"
"60","decima"
"61","corresponden"
"62","proyecciones"
"63","baja"
"64","datos"
"65","efectivos"
"66","mantiene"
"67","eurozona"
"68","suiza"
"69","canada"
"70","mexico"
"71","argentina"
"72","ecuador"
"73","peru"
"74","venezuela"
"75","bolivia"
"76","rep"
"77","corea"
"78","taiwan"
"79","principal"
"80","foco"
"81","riesgo"
"82","continua"
"83","centrado"
"84","desaceleracion"
"85","economica"
"86","banco"
"87","intensa"
"88","esperado"
"89","especial"
"90","ralentizacion"
"91","sector"
"92","inmobiliario"
"93","consecuencias"
"94","inversion"
"95","calidad"
"96","activos"
"97","bancario"
"98","finanzas"
"99","gobiernos"
"100","locales"
"101","materializacion"
"102","riesgo"
"103","conlleva"
"104","efectos"
"105","relevancia"
"106","comercio"
"107","mundial"
"108","precio"
"109","materias"
"110","primas"
"111","incluido"
"112","cobre"
"113","crecimiento"
"114","mundial"
"115","riesgo"
"116","aminorado"
"117","relacionados"
"118","normalizacion"
"119","variacion"
"120","rapida"
"121","politica"
"122","monetaria"
"123","eurozona"
"124","producido"
"125","prom"
"126","prom"
"127","avances"
"128","frente"
"129","fiscal"
"130","bancario"
"131","situacion"
"132","continua"
"133","fragil"
"134","f"
"135","f"
"136","f"
"137","crecimiento"
"138","acotado"
"139","mundo"
"140","ppc"
"141","mundial"
"142","tc"
"143","mercado"
"144","socios"
"145","comerciales"
"146","desempeno"
"147","mercado"
"148","laboral"
"149","siguio"
"150","mejorando"
"151","unidos"
"152","importante"
"153","creacion"
"154","empleos"
"155","llevando"
"156","tasa"
"157","desocupacion"
"158","eurozona"
"159","similarmente"
"160","ingresos"
"161","laborales"
"162","repuntaron"
"163","junto"
"164","aumento"
"165","precio"
"166","viviendas"
"167","acciones"
"168","ultimas"
"169","maximos"
"170","india"
"171","resto"
"172","asia"
"173","historicos"
"174","impulsado"
"175","confianza"
"176","consumo"
"177","personas"
"178","suma"
"179","excl"
"180","exp"
"181","prod"
"182","basicos"
"183","menor"
"184","ajuste"
"185","fiscal"
"186","lado"
"187","expectativas"
"188","gerentes"
"189","compra"
"190","servicios"
"191","manufacturas"
"192","adelantan"
"193","importante"
"194","rebote"
"195","estimacion"
"196","f"
"197","proyeccion"
"198","actividad"
"199","adelante"
"200","reflejado"
"201","ejemplo"
"202","pedidos"
"203","definiciones"
"204","glosario"
"205","bienes"
"206","durables"
"207","estandares"
"208","otorgamiento"
"209","credito"
"210","fuentes"
"211","banco"
"212","muestra"
"213","banco"
"214","empresas"
"215","siguen"
"216","relajandose"
"217","apoya"
"218","percepcion"
"219","inversion"
"220","consensus"
"221","forecasts"
"222","fondo"
"223","monetario"
"224","internacional"
"225","oficinas"
"226","pais"
"227","contraccion"
"228","crecimiento"
"229","pib"
"230","hizo"
"231","corregir"
"232","banco"
"233","levemente"
"234","baja"
"235","proyeccion"
"236","situacion"
"237","transitoria"
"238","indicadores"
"239","actividad"
"240","probablemente"
"241","consecuencia"
"242","invierno"
"243","severo"
"244","habitual"
"245","variacion"
"246","hemisferio"
"247","norte"
"248","hecho"
"249","sube"
"250","proyeccion"
"251","produccion"
"252","industrial"
"253","exportaciones"
"254","ventas"
"255","minoristas"
"256","eurozona"
"257","crecio"
"258","trimestral"
"259","anualizado"
"260","cuarto"
"261","similar"
"262","lapso"
"263","bajo"
"264","expectativas"
"265","mercado"
"266","alemania"
"267","continua"
"268","liderando"
"269","crecimiento"
"270","bloque"
"271","secundada"
"272","vez"
"273","espana"
"274","cambio"
"275","francia"
"276","italia"
"277","frenaron"
"278","avance"
"279","incluso"
"280","ultima"
"281","contrajo"
"282","marginalmente"
"283","expectativas"
"284","sector"
"285","manufacturero"
"286","mantienen"
"287","elevadas"
"288","servicios"
"289","repunto"
"290","ambas"
"291","expansion"
"292","confianza"
"293","consumidor"
"294","subio"
"295","fuerza"
"296","reaempresasndo"
"297","evolucion"
"298","positiva"
"299","gasto"
"300","consumo"
"301","ello"
"302","justifica"
"303","prevision"
"304","aumento"
"305","velocidad"
"306","expansion"
"307","actividad"
"308","largo"
"309","reciente"
"310","agrega"
"311","aumento"
"312","estimulo"
"313","monetario"
"314","banco"
"315","nuevo"
"316","chino"
"317","ocurre"
"318","limita"
"319","disponibilidad"
"320","cifras"
"321","casos"
"322","cifras"
"323","disponibles"
"324","ambos"
"325","consideran"
"326","primeros"
"327","tres"
"328","crecio"
"329","trimestral"
"330","anualizado"
"331","variaciones"
"332","anuales"
"333","agregado"
"334","enerofebrero"
"335","consumo"
"336","privado"
"337","componente"
"338","subio"
"339","adelantandose"
"340","aumento"
"341","iva"
"342","instaurado"
"343","componentes"
"344","inversion"
"345","residencial"
"346","exportaciones"
"347","aportaron"
"348","precio"
"349","viviendas"
"350","nuevas"
"351","espera"
"352","menor"
"353","gasto"
"354","consumidores"
"355","refleja"
"356","deterioro"
"357","variacion"
"358","ventas"
"359","minoristas"
"360","importaciones"
"361","produccion"
"362","industrial"
"363","contrajo"
"364","expectativas"
"365","manufactureras"
"366","cayeron"
"367","fuertemente"
"368","nacional"
"369","beijing"
"370","shanghai"
"371","shenzhen"
"372","contraccion"
"373","ultima"
"374","mostro"
"375","cierta"
"376","recuperacion"
"377","ubicandose"
"378","umbral"
"379","neutral"
"380","expandio"
"381","cuarto"
"382","previo"
