X,x,fecha
1,politica,21_1
2,monetaria,21_1
3,proyecciones,21_1
4,politica,21_1
5,monetaria,21_1
6,objetivo,21_1
7,politica,21_1
8,monetaria,21_1
9,mantener,21_1
10,inflacion,21_1
11,estable,21_1
12,centro,21_1
13,rango,21_1
14,forma,21_1
15,permanente,21_1
16,marco,21_1
17,uso,21_1
18,proyecciones,21_1
19,inflacion,21_1
20,adquiere,21_1
21,rol,21_1
22,relevante,21_1
23,efecto,21_1
24,cambios,21_1
25,tasa,21_1
26,interes,21_1
27,politica,21_1
28,mone,21_1
29,taria,21_1
30,afectan,21_1
31,inflacion,21_1
32,rezago,21_1
33,variable,21_1
34,seis,21_1
35,veinticuatro,21_1
36,decisiones,21_1
37,politica,21_1
38,monetaria,21_1
39,pueden,21_1
40,unicamente,21_1
41,basarse,21_1
42,ocurre,21_1
43,inflacion,21_1
44,hoy,21_1
45,contrario,21_1
46,proyecciones,21_1
47,inflacion,21_1
48,pueden,21_1
49,consideradas,21_1
50,objetivo,21_1
51,intermedio,21_1
52,mismas,21_1
53,reflejan,21_1
54,hoy,21_1
55,estima,21_1
56,pasara,21_1
57,manana,21_1
58,inflacion,21_1
59,vez,21_1
60,informa,21_1
61,politica,21_1
62,monetaria,21_1
63,tal,21_1
64,razon,21_1
65,banco,21_1
66,puesto,21_1
67,enorme,21_1
68,esfuer,21_1
69,zo,21_1
70,desarrollar,21_1
71,herramientas,21_1
72,proyeccion,21_1
73,inflacion,21_1
74,crecimiento,21_1
75,corto,21_1
76,actividad,21_1
77,economica,21_1
78,permitan,21_1
79,pronostico,21_1
80,eficiente,21_1
81,vez,21_1
82,representativo,21_1
83,vision,21_1
84,consejo,21_1
85,embargo,21_1
86,relacion,21_1
87,proyecciones,21_1
88,inflacion,21_1
89,cambios,21_1
90,politica,21_1
91,monetaria,21_1
92,dista,21_1
93,mecanica,21_1
94,lineal,21_1
95,trata,21_1
96,aspectos,21_1
97,importantes,21_1
98,dicha,21_1
99,relacion,21_1
100,proceso,21_1
101,proyeccion,21_1
102,proyecciones,21_1
103,inflacion,21_1
104,crecimiento,21_1
105,economico,21_1
106,llevan,21_1
107,cabo,21_1
